episode_id,section_index,gender,minutes,tunnus,lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,noh,"No see muutunud kõik , et noh , esimene mõte , mis ma tahaks öelda , et et minu meelest see nullpunkt on nagu ületatud , et see maa ma ei tahaks öelda maa elu , aga maainimeste elu või selline Noh , ma olen näinud , kuidas kõik väheneb , kokku kukub , inimesed kolivad ära või pigem surevad ära , eks , onju ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,1,M,27.033,noh,"Mul oligi selline , noh , ma käisin ju vaata Viljandi katsetel ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,2,M,8.717833333333333,noh,"Aga noh , nüüd ongi see , et miks sa ei läinud siis , eks , et et ma ei tea , iga , noh , see on onu Heinost , rääkisid , on ju siis ma ütlen ka , et onu Heinolikult õige mees peab ikka kaitseväes ära käima on ju , räägib mees , kes kaitseväkke , keda ei tahetud ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,noh,"Et ei saa öelda , et noh , sa jätad mulje oska , et sul on ainult paberitöö , aga see , selline selline päev võib ka olla , et kus sa pead Pulli vedama on ju sarvi pidi ?"
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,4,M,10.882666666666667,noh,"Mis need mured olid nagu kui , kui ütleme , üks päevas , et kas on siis lihtsad mured või , või noh , siis noh , mõnikord on see , et tuleb inimene sellise murega , et sa tead , et sa tegelikult ilmselt teda aidata ei saa või , või , või ilmselt ei oskagi ."
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm,5,M,17.14183333333333,noh,"No eks see ajastu võib-olla , et tulevad ja lähevad , et lõpuks praegu on selline ajastu ja võib olla viie aasta pärast räägime , et ma ei tea Poprocki on liiga palju , on ju , et kõik spotis või edetabelid on täis , et noh , me ei tea seda täpselt ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,noh,"Ma muidugi pean siin sekkuma tõe huvides , kuna ma olin ka Otepää osjaaniga , siis Jaan seal muidugi karjunud küll , aga see kähehääl ikkagi teatud teatud asjade manustamise tulemusena tekkinud , sest et noh , seda tean , seda te tegite koos me tegime , ütleme , väiksed soendused tegime pujees koos , siis Jaan sulgus enda kambrisse ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,noh,"Võtaks tüdrukud ka korraks läbi , et , et noh , tegelikult meie hea kolleeg Madis kirjutas ka õige kommentaari kogu selle pulli kohta , eks ole , et et , et see naiste kahevõistlus on ala , kus on praegu võimalik nagu olla nagu mängus sees ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,noh,"Aga , aga noh , Jaan Jaani lugu nagu imestas seda pilti ka väga selgelt , et , et mis jama tegelikult sa tegeled ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,noh,"Ja kui nüüd neile mõlemale panna tipptasemel ettevalmistustaha , ehk siis nad saavad korraliku varustuse , korralikud treeningud , korralikud laagrid , kõik see , mis on vaja , korralik toitlustame , kõik see , et noh , tegeles nagu tippsportlased nagu teiste riikide sportlased , siis ma arvan , et , et sealt on lootust ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,noh,"On öelnud , et see raha kõik peab tulema riigilt , nii et , et noh , saarelt tuleks küsida , miks ei ole kümmet miljonit eraldatud , miks eraldatakse ainult kaks miljonit , see on küsimus ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,noh,"Mis , mine tee aiatööd , noh , mine õue , tead ole õue ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,noh,"Ameeriklane andis Lõuga , ma ei hakka seda nime siin välja lätlasele , andis lõuga , noh okei , aga , aga sai kolmemänguse keelu , aga kusjuures see lõua andmine oli ikka väga efektne , ütleme niimoodi , et puhast nokaaut ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,noh,"Jah , et noh , see , see väljub igasugustest nendest tava mingit juhendi raamistikust , et siin tuleb lihtsalt võtta vastu mingi otsus , et see karistus on selline minu arust isegi kolm mängu on liiga vähe mängude arv rohkem ja see rahatrahv ka ja , ja , ja ongi kõik ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,noh,"Nagu ma tean seda , näiteks Pärnu mängis vahepeal ühe esiliiga satsiga siin lihtsalt natuke mängida saada , tead , et , et oleks midagi nagu , et noh , need vahed läksid nagu nii , nii pikaks , et noh , see on absurdset ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,2,M,21.29866666666667,noh,"Nagu ma tean seda , näiteks Pärnu mängis vahepeal ühe esiliiga satsiga siin lihtsalt natuke mängida saada , tead , et , et oleks midagi nagu , et noh , need vahed läksid nagu nii , nii pikaks , et noh , see on absurdset ."
