episode_id,section_index,gender,minutes,pos,tunnus,sona,lause
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,D,täiesti,seal,"Nii räägime kahevõistluse MK- etapist Otepääl ja Kristjan Ilves siis lõpuks jõudis punktidele , hurraa selle eest , aga ütleme nüüd niimoodi , et võrreldes esimeste etappidega , kus ta oli ikkagi noh , omadega täiesti seal suusarajal null siis siis nüüd on edasiminek toimunud ja , ja ma pakuks välja , et ta on jõudnud üle-eelmise aasta tasemele ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,1,M,24.004166666666663,D,täiesti,kenasti,"Ütleme niimoodi , nad on praegu Ausenbergil oli , selle kukkumise tagajärjel oli , läks võistlus nässu , põlv haige , kõik , aga Anne Mari Bendi hüppas täiesti kenasti suusaaeg näiteks teisel päeval , kui oli 26 võistlejat tal oli 12. suusaaeg mis ei ole sugugi paha ."
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit,5,M,20.710666666666665,A,täiesti,oluline,See koosseis on näidanud sellel hooajal juba päris mitmel erineval korral ka võõrsil täiesti olulisi arvestatavaid võite võttes .
20210413_episood_4_kas_vanasti_oli_muusika_parem,0,M,10.724166666666669,D,täiesti,puudu,"No miksimisega ma ei ole üldse tegelenud selles mõttes need teadmised on mul täiesti puudu , Sa oled siuke lavartist rohkem veel , onju ?"
20210413_episood_4_kas_vanasti_oli_muusika_parem,0,M,10.724166666666669,A,täiesti,korralik,"Aga noh , praegu tagasi kuulates ma ütleksin , et noh , tee täiesti korralik töö ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,2,M,24.133833333333335,D,täiesti,nõus,"Ja sellega ma olen täiesti nõus , ma , aga nagu sa ise ka ütlesid , et ikkagi erandid Aa , ja muidugi erandeid on selles mõttes , et noh , mõnel lihtsalt inimesel pahatahtmatult lihtsalt üldse lihtsalt ei vea ja umbes nagu kosmos ongi vastu , lihtsalt ei tea , miks nagu ja kahju on ka nagu on , on , on niisuguseid tüüpe ja , ja teistel vahetevahel on lihtsalt jälle , et ma tegin mingi ühe loo ja siis järsku mingi staari ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,4,M,12.370666666666663,V,täiesti,põlema,"Et see ja see paneb selle su aju täiesti põlema ja see paneb tekitab tohutut arengut , eks ole , või kas tohutut arengut või siis aga teisel juhul ta paneb nagu mõlemad allpool korrad koos töötama ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,5,M,46.16899999999999,D,täiesti,lihtsalt,"Täiesti lihtsalt pooleldi häälest ära klaveriga veel ka niisugune täiesti vabas vormis ja siis võib-olla paned hoopis , võtad keelpilli Rubatas mängima , Rubatas tähendab siis nagu vaba vabas rütmis vabas tempos ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,5,M,46.16899999999999,A,täiesti,vaba,"Täiesti lihtsalt pooleldi häälest ära klaveriga veel ka niisugune täiesti vabas vormis ja siis võib-olla paned hoopis , võtad keelpilli Rubatas mängima , Rubatas tähendab siis nagu vaba vabas rütmis vabas tempos ."
20210413_episood_4_kas_vanasti_oli_muusika_parem,5,M,46.16899999999999,D,täiesti,rütmivabalt,"Erinevus tekib siis pigem ma arvan , kui sa tahad olla nagu erinev või teha midagi muud , sest sa tunned , et okei , seda on nii palju , et sa ei taha enam seda teha nagu , et sa lihtsalt sa tahad tempovahetust , tahad midagi muud , tahad mingit teist rütmi , kat vahetevahel võibolla leiutada üldse mingi uue rütmiga , võib-olla teed täiesti rütmivabalt kogu asja ."
