episode_id;section_index;gender;minutes;verb;lause
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;1;M;27.033;olge;Ansip , olge tolle aega peaminister .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;1;M;27.033;istu;Aga noh , istu , istu , istutatakse sellepärast , et aetakse sellist metsa nagu inimesed tahavad .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;1;M;27.033;istu;Aga noh , istu , istu , istutatakse sellepärast , et aetakse sellist metsa nagu inimesed tahavad .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;4;M;10.882666666666667;laske;Oi , laske küsimus kuidagi , kus kerge või raske siis .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;4;M;10.882666666666667;tulge;No ja inimestel on vist see ka mõte , et vald valla asi on ju valla mure , et tulge lahendage ära minu ja naabri vaheline , et vald , öelge , et peab niimoodi tegema .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;4;M;10.882666666666667;lahendage;No ja inimestel on vist see ka mõte , et vald valla asi on ju valla mure , et tulge lahendage ära minu ja naabri vaheline , et vald , öelge , et peab niimoodi tegema .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;4;M;10.882666666666667;öelge;No ja inimestel on vist see ka mõte , et vald valla asi on ju valla mure , et tulge lahendage ära minu ja naabri vaheline , et vald , öelge , et peab niimoodi tegema .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;4;M;10.882666666666667;helista;Aga ma leian , et tavainimesel ei ole vahet mis , mis ametkond see on , et minu kui ametniku kohus oli kindlasti , mida ma alati , ma arvan , ei teinud vana ma ikkagi vahepeal ütlesin küll , et sellega mina ei tegele , sellega tegeleb keskkonnaamet , helista sinna .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;4;M;10.882666666666667;kirjuta;Oli nii mures , murtud , et keskkonnaameti ga ta kuidagi suutnud suhelda , neid kirjutada ja siis telefoni teel , ma andsin talle kuidagi , motiveerisin teda , et palun kirjuta see kiri lihtsalt ära .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;4;M;10.882666666666667;kutsuge;Et elupõline asendaja , vahet ei ole , mis teema on lõpuks ja kutsuge madis .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;5;M;17.14183333333333;kinkige;Siis ma ütlesin emal-isal , et palun kinkige mulle sünnipäevaks 5000 kroonine ratas ja siis sõitsin sellega aasta aega ja siis tuli see nii-öelda see trikirattabuum .
20210416_jutud_rohelises_stuudios_osa_4_madis_mumm;5;M;17.14183333333333;tunnegi;Et mul on põlvede peal mingid kohad , mis nagu võid nõela sisse panna ja midagi tunnegi , siis on nagu mingid surnud kohad , tekivad naha peale .
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;1;M;24.004166666666666;Kuulge;Kuulge , kallid inimesed , nad on juba nii lahus , kui üldse lahus olla saab .
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;1;M;24.004166666666666;Loe;Tegelikult ma tunnistan ausalt täpselt , et võibolla seal on mingid kahtlased asju küll , aga , aga ma ütlen veelkord , et see nagu ei , ei vähenda sugugi seda poolt , et ütleme , poliitiliselt on neil nagu asjas nagu õigus , et kui nende kõrvale panna mingid õiged ja tugevad majandusmehed , siis , siis ma arvan , see on ikkagi okei variant , aga ma ütleks praktikas siiski , aitas see projekt suust , ma arvan Loe eilset Leo Kunnase intervjuud , no ainult puhas kuld oli seal kõik kõikide asjade sisuliselt kirjutas kahe käega alla .
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;1;M;24.004166666666666;Küsi;Küsi küsi , ma ei kirjutaks , kindlasti mitte nii , ma tahan teada , et miks me räägime kogu aeg sellest , et laenu ei tohi võtta .
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;1;M;24.004166666666666;kuula;Solki kuula nüüd , mis see solgist räägib .
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;1;M;24.004166666666666;proovi;Nälga otseselt ei sure , sure või sure , aga proovi ise nelja seega ära elada ei proovi ise muidugi proovi ise , ega ma ütlen sulle , proovi ise ära elada , mida , mida siis pakkus muu lahendus välja .
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;1;M;24.004166666666666;proovi;Nälga otseselt ei sure , sure või sure , aga proovi ise nelja seega ära elada ei proovi ise muidugi proovi ise , ega ma ütlen sulle , proovi ise ära elada , mida , mida siis pakkus muu lahendus välja .
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;1;M;24.004166666666666;proovi;Nälga otseselt ei sure , sure või sure , aga proovi ise nelja seega ära elada ei proovi ise muidugi proovi ise , ega ma ütlen sulle , proovi ise ära elada , mida , mida siis pakkus muu lahendus välja .
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;1;M;24.004166666666666;Kuule;Kuule , hakkaks spordiga nüüd pihta , sa , Tarmo näitasid mulle midagi , et paneme kohe algusest .
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;1;M;24.004166666666666;hammusta;Ma ma arvan , et , et probleem oli selles kahes viimases nädalas , enne seda hooaega , kui lund ei olnud ja , ja kui nad treenisid mitte Baplano ehk siis mitte plaani järgi ja , ja , ja seal pandi kuskil mööda , aga seal on võib-olla tõesti nii väiksed detailid , et , et ei oska ei nemad ega , või võib-olla tõesti suuremad spetsialistid oskab selle välja , hammusta .
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;1;M;24.004166666666666;olgem;Et ühest küljest sa mängid võõrustaja Soome vastu , kes on lisaks veel mitte oma parimas koosseisus , aga sellegipoolest piisavalt heas koosseisus pingeid absoluutselt ei ole , Soome naiskonnal ja siis on Eesti naiskond , kes noh , olgem ausad , on näidanud selles tsüklis , et mingitel hetkedel võib psühholoogiliselt neil nagu raske olla ka ka seesama nädalavahetuse kohtumine , esimene keim ikkagi kodu publiku ees .
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;2;M;21.29866666666667;kuulake;Nii et Georg , järgmine kord , kui otti näeme , siis küsime , aga küsimuse teine pool kuulake ära .
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;2;M;21.29866666666667;mine;Mis , mine tee aiatööd , noh , mine õue , tead ole õue .
20190108_mehed_ei_nuta_aasta_suured_ksimused__kas_tnak_vidab_tiitli_kas_kirt_viskab_90_meetrit;2;M;21.29866666666667;mine;Mis , mine tee aiatööd , noh , mine õue , tead ole õue .
